Batch,Total,Techniques,Workplace,Garage,Kitchen,Hall
373,6.206533334,0.623166667,1.226766667,1.9282,0.452533333,1.975866667
374,6.797849999,0.61435,1.14565,1.877083333,0.567533333,2.593233333
375,6.322433332,0.925683333,0.788683333,1.411933333,0.9885,2.207633333
376,5.968683333,0.926283333,0.47775,1.3356,1.021516667,2.207533333
377,6.910966666,1.032583333,0.43385,1.339733333,1.900383333,2.204416667
378,7.877266667,1.330716667,0.5068,1.325816667,2.5087,2.205233333
379,7.023416666,1.181233333,0.537083333,1.318766667,1.79575,2.190583333
380,6.35955,1.161033333,0.5888,1.39095,1.0585,2.160266667
381,6.24195,1.153066667,0.692266667,1.42565,1.048133333,1.922833333
382,6.4194,1.06415,1.153816667,1.5365,0.8513,1.813633333
383,6.590116667,0.864666667,1.247183333,1.830583333,0.497466667,2.150216667
384,6.753633333,0.5192,1.192583333,2.100633333,0.5207,2.420516667
